Name,OPS,Rank
Jose Guillen,0.761 (.76094),730
Mark Trumbo,0.761 (.76089),731
Mule Haas,0.761 (.76065),732
Felipe Alou,0.760 (.76050),733
Jim Hickman,0.760 (.76036),734
Randy Velarde,0.760 (.76033),735
Rance Mulliniks,0.760 (.76029),736
Jake Daubert,0.760 (.76027),737
Sal Bando,0.760 (.76026),738
Toby Harrah,0.760 (.76009),739
Jim Russell,0.760 (.75992),740
DJ LeMahieu,0.760 (.75979),741
Jeff Blauser,0.760 (.75964),742
Jacoby Ellsbury,0.760 (.75956),743
Marlon Byrd,0.759 (.75931),744
Jay Bell,0.759 (.75920),745
Dummy Hoy,0.759 (.75892),746
Randy Winn,0.759 (.75892),
Sherm Lollar,0.759 (.75884),748
Ty Wigginton,0.758 (.75844),749
John Titus,0.758 (.75824),750
Pinky Whitney,0.758 (.75805),751
Marcus Semien,0.758 (.75797),752
Juan Encarnacion,0.758 (.75787),753
Irv Noren,0.758 (.75782),754
Pete Incaviglia,0.758 (.75781),755
Salvador Perez,0.758 (.75768),756
Eddie Stanky,0.758 (.75762),757
Wil Cordero,0.758 (.75760),758
Walt Dropo,0.757 (.75749),759
John Milner,0.757 (.75741),760
Dwayne Murphy,0.757 (.75741),
Earl Battey,0.757 (.75736),762
Greg Norton,0.757 (.75732),763
Mark Canha,0.757 (.75730),764
Larry Parrish,0.757 (.75730),
Ichiro Suzuki,0.757 (.75688),766
Heinie Groh,0.757 (.75680),767
Willie Crawford,0.757 (.75657),768
Derek Bell,0.757 (.75654),769
Thurman Munson,0.756 (.75629),770
Bruce Bochte,0.756 (.75590),771
Willie Kamm,0.756 (.75587),772
Billy Werber,0.756 (.75580),773
Dave Henderson,0.756 (.75575),774
Brian Roberts,0.756 (.75565),775
Bill Melton,0.756 (.75560),776
Sid Bream,0.755 (.75546),777
Mel Hall,0.755 (.75519),778
Ralph Garr,0.755 (.75512),779
Harry Hooper,0.755 (.75493),780
Alex Rios,0.755 (.75488),781
Ginger Beaumont,0.755 (.75464),782
Mark Loretta,0.754 (.75444),783
Andrew Benintendi,0.754 (.75437),784
Willie Upshaw,0.754 (.75430),785
Carlos Baerga,0.754 (.75425),786
Billy Goodman,0.754 (.75408),787
Topsy Hartsel,0.754 (.75379),788
Willie Jones,0.753 (.75345),789
Tom Haller,0.753 (.75338),790
Jimmy Sheckard,0.753 (.75332),791
Carney Lansford,0.753 (.75330),792
Lance Parrish,0.753 (.75321),793
Gary Ward,0.753 (.75310),794
Ronnie Belliard,0.753 (.75295),795
Brett Butler,0.753 (.75293),796
Pete Runnels,0.753 (.75282),797
Lou Brock,0.753 (.75278),798
Woodie Held,0.753 (.75266),799
Jimmy Collins,0.752 (.75229),800
Rico Petrocelli,0.752 (.75226),801
Jo-Jo Moore,0.752 (.75221),802
Orlando Hudson,0.752 (.75213),803
Cy Seymour,0.752 (.75213),
Jhonny Peralta,0.752 (.75212),805
Tony Batista,0.752 (.75198),806
Gary Redus,0.752 (.75183),807
Bill Freehan,0.752 (.75173),808
Mike Macfarlane,0.752 (.75161),809
Jonathan Lucroy,0.751 (.75141),810
Mark DeRosa,0.751 (.75138),811
Aaron Boone,0.751 (.75130),812
Jim Dwyer,0.751 (.75122),813
Kelly Johnson,0.751 (.75121),814
Chris Iannetta,0.751 (.75103),815
Melky Cabrera,0.751 (.75097),816
Miguel Montero,0.751 (.75058),817
Asdrubal Cabrera,0.750 (.75042),818
Bob Bailey,0.750 (.75041),819
Gates Brown,0.750 (.75030),820
Dan Ford,0.750 (.75028),821
Heinie Zimmerman,0.750 (.75008),822
Graig Nettles,0.750 (.74980),823
Lee Lacy,0.750 (.74973),824
Jason Kipnis,0.750 (.74961),825
Lorenzo Cain,0.749 (.74945),826
Don Slaught,0.749 (.74944),827
Wilmer Flores,0.749 (.74943),828
Gabe Kapler,0.749 (.74943),
George Burns,0.749 (.74917),830
Carlos May,0.749 (.74907),831
Eric Young,0.749 (.74889),832
Chris Taylor,0.749 (.74883),833
Chris Chambliss,0.749 (.74880),834
Jeff King,0.749 (.74880),
Wally Pipp,0.749 (.74873),836
Elston Howard,0.749 (.74864),837
Ed Konetchy,0.749 (.74862),838
Alex Gordon,0.748 (.74843),839
Jay Payton,0.748 (.74820),840
Del Pratt,0.748 (.74819),841
Taylor Douthit,0.748 (.74814),842
Rafael Furcal,0.748 (.74802),843
Bob O'Farrell,0.748 (.74787),844
Brian Harper,0.748 (.74760),845
Scott Spiezio,0.748 (.74750),846
Eddie Rosario,0.747 (.74746),847
Josh Reddick,0.747 (.74726),848
Paul Hines,0.747 (.74714),849
Bobby Avila,0.747 (.74685),850
Lloyd Waner,0.747 (.74683),851
Buddy Bell,0.747 (.74676),852
Randy Bush,0.747 (.74672),853
Max Carey,0.747 (.74665),854
Martin Prado,0.747 (.74662),855
Dick Bartell,0.747 (.74661),856
Roy Thomas,0.747 (.74656),857
Jorge Orta,0.746 (.74640),858
Keith Moreland,0.746 (.74637),859
Johnny Groth,0.746 (.74622),860
Tony Fernandez,0.746 (.74618),861
Tito Francona,0.746 (.74616),862
Dick McAuliffe,0.746 (.74615),863
Adam Duvall,0.746 (.74613),864
Terry Steinbach,0.746 (.74612),865
James Loney,0.746 (.74597),866
Candy Maldonado,0.746 (.74592),867
Ruppert Jones,0.746 (.74576),868
Jim Eisenreich,0.746 (.74575),869
Russell Martin,0.746 (.74568),870
Paul Lo Duca,0.746 (.74562),871
Tom Tresh,0.746 (.74559),872
Lloyd Moseby,0.746 (.74556),873
Darryl Hamilton,0.746 (.74551),874
Ethan Allen,0.745 (.74547),875
B.J. Surhoff,0.745 (.74535),876
Pete O'Brien,0.745 (.74531),877
Colby Rasmus,0.745 (.74529),878
Steve Brodie,0.745 (.74519),879
Jerry Mumphrey,0.745 (.74516),880
Denard Span,0.745 (.74510),881
Chad Curtis,0.745 (.74507),882
Dan McGann,0.745 (.74494),883
Claudell Washington,0.745 (.74488),884
Hector Lopez,0.745 (.74462),885
Carmelo Martinez,0.745 (.74459),886
Travis Lee,0.745 (.74458),887
Scott Brosius,0.744 (.74448),888
Davey Johnson,0.744 (.74432),889
Jason Heyward,0.744 (.74419),890
Manny Mota,0.744 (.74405),891
Johnny Bates,0.744 (.74403),892
Ramon Hernandez,0.744 (.74403),
Jason Kendall,0.744 (.74397),894
Alvin Dark,0.744 (.74396),895
Bill Hall,0.744 (.74385),896
Chuck Hinton,0.744 (.74382),897
Cleon Jones,0.744 (.74370),898
Sam Mertes,0.744 (.74359),899
Frankie Hayes,0.744 (.74357),900
Lee Mazzilli,0.744 (.74357),
Harry Davis,0.743 (.74347),902
Woody English,0.743 (.74346),903
Tom Daly,0.743 (.74330),904
Max Kepler,0.743 (.74321),905
Chris Young,0.743 (.74285),906
Pee Wee Reese,0.743 (.74274),907
Jimmy Rollins,0.743 (.74272),908
Darin Erstad,0.743 (.74264),909
Fred Luderus,0.743 (.74256),910
Jason Michaels,0.742 (.74249),911
Ian Desmond,0.742 (.74242),912
Nate McLouth,0.742 (.74178),913
Danny Murphy,0.742 (.74171),914
Carlos Ruiz,0.742 (.74168),915
Chase Headley,0.742 (.74165),916
Michael Barrett,0.742 (.74161),917
Lou Piniella,0.741 (.74127),918
Gary Gaetti,0.741 (.74120),919
Lyn Lary,0.741 (.74114),920
Rick Ferrell,0.741 (.74112),921
Edgar Renteria,0.741 (.74110),922
Don Hoak,0.741 (.74104),923
Stephen Drew,0.741 (.74097),924
Don Buford,0.741 (.74082),925
Whit Merrifield,0.741 (.74076),926
Tom Paciorek,0.741 (.74066),927
John Lowenstein,0.741 (.74063),928
Alex Avila,0.740 (.74048),929
Darrin Fletcher,0.740 (.74045),930
Justin Smoak,0.740 (.74042),931
Hank Majeski,0.740 (.74018),932
Roy Smalley,0.740 (.74011),933
Placido Polanco,0.740 (.74007),934
Aaron Hill,0.740 (.73997),935
Reed Johnson,0.740 (.73997),
Tony Armas,0.740 (.73975),937
Brett Gardner,0.740 (.73975),
Brandon Phillips,0.740 (.73971),939
Tim Teufel,0.740 (.73967),940
Tommy McCarthy,0.740 (.73960),941
Bill Dahlen,0.739 (.73949),942
Gene Richards,0.739 (.73945),943
Jim Tabor,0.739 (.73945),
Larry Gardner,0.739 (.73932),945
Brook Jacoby,0.739 (.73917),946
Ken Henderson,0.739 (.73891),947
Warren Cromartie,0.739 (.73878),948
Mike Moustakas,0.739 (.73866),949
Devon White,0.739 (.73861),950
A.J. Pierzynski,0.739 (.73859),951
Charlie Grimm,0.738 (.73845),952
Joe Rudi,0.738 (.73799),953
Angel Pagan,0.738 (.73779),954
Bill Robinson,0.738 (.73779),
Steve Braun,0.738 (.73768),956
Andy High,0.738 (.73767),957
Jim King,0.737 (.73746),958
Tommy Tucker,0.737 (.73738),959
Bip Roberts,0.737 (.73731),960
Davey Lopes,0.737 (.73730),961
Ed Sprague,0.737 (.73729),962
Terry Puhl,0.737 (.73721),963
Gary Matthews,0.737 (.73720),964
Tony Cuccinello,0.737 (.73710),965
Vince DiMaggio,0.737 (.73701),966
Delmon Young,0.737 (.73690),967
Cookie Lavagetto,0.737 (.73671),968
Mark Kotsay,0.737 (.73664),969
Mike Kreevich,0.737 (.73659),970
Greg Brock,0.737 (.73658),971
Sam Mele,0.736 (.73629),972
Jim Fregosi,0.736 (.73614),973
Jack Doyle,0.736 (.73610),974
Yonder Alonso,0.736 (.73608),975
Jed Lowrie,0.736 (.73606),976
Terry Moore,0.736 (.73598),977
Yunel Escobar,0.736 (.73591),978
Ray Chapman,0.735 (.73536),979
Eduardo Escobar,0.735 (.73503),980
Mike Stanton,0.735 (.73500),981
Juan Samuel,0.735 (.73487),982
Debs Garms,0.735 (.73479),983
Gus Triandos,0.735 (.73470),984
Jackie Brandt,0.735 (.73467),985
Kevin Bass,0.735 (.73463),986
Billy Nash,0.734 (.73448),987
Mark Sweeney,0.734 (.73429),988
Ron LeFlore,0.734 (.73398),989
Don Money,0.734 (.73387),990
Ernie Whitt,0.734 (.73380),991
Lonny Frey,0.734 (.73370),992
Javier Báez,0.734 (.73358),993
Tommy Davis,0.733 (.73346),994
Avisaíl García,0.733 (.73316),995
John Anderson,0.733 (.73311),996
Garry Maddox,0.733 (.73304),997
Dansby Swanson,0.733 (.73295),998
Jimmy Williams,0.733 (.73295),
Damion Easley,0.733 (.73283),1000
